,City,Population
0,Berlin,3613495
1,Madryt,3182981
2,Rzym,2865234
3,Paryż,2206488
4,Wiedeń,1888776
5,Bukareszt,1877155
6,Hamburg,1830584
7,Warszawa,1783321
8,Budapeszt,1749734
9,Barcelona,1620809
10,Monachium,1456039
11,Mediolan,1372810
12,Praga,1294513
13,Sofia,1290502
14,Kolonia,1080394
15,Neapol,962495
16,Sztokholm,960031
17,Turyn,878074
18,Marsylia,861635
19,Amsterdam,859732
20,Zagrzeb,802338
21,Walencja,787808
22,Kraków,774839
23,Frankfurt,746878
24,Sewilla,689434
25,Łódź,682679
26,Palermo,666214
27,Saragossa,664938
28,Ateny,664046
29,Helsinki,645482
30,Wrocław,641607
31,Ryga,641423
32,Rotterdam,641326
33,Stuttgart,632743
34,Düsseldorf,617280
35,Kopenhaga,613288
36,Göteborg,590580
37,Dortmund,586600
38,Essen,583393
39,Lipsk,581980
40,Genua,578710
41,Malaga,569002
42,Brema,568006
43,Dublin,554554
44,Drezno,551072
45,Poznań,537643
46,Wilno,536692
47,Hanower,535061
48,Haga,534158
49,Antwerpia,523248
50,Norymberga,515201
51,Lyon,513275
52,Lizbona,506892
53,Duisburg,498110
54,Tuluza,471941
55,Gdańsk,464829
56,Murcja,443243
57,Tallinn,440702
58,Palma de Mallorca,434516
59,Bratysława,429564
60,Brno,404145
61,Szczecin,403833
62,Las Palmas,395688
63,Bolonia,390294
64,Florencja,381512
65,Jassy,378871
66,Płowdiw,368983
67,Bochum,365529
68,Wuppertal,353590
69,Bydgoszcz,352313
70,Utrecht,349234
71,Bilbao,345110
72,Nicea,342637
73,Lublin,339850
74,Warna,336505
75,Bielefeld,332552
76,Alicante,329988
77,Kordoba,325916
78,Bonn,325490
79,Kluż-Napoka,324576
80,Bari,322018
81,Timișoara,319279
82,Saloniki,315196
83,Münster,313559
84,Katania,312129
85,Malmö,312012
86,Karlsruhe,311919
87,Mannheim,307997
88,Galati,304340
89,Nantes,303382
90,Valladolid,299715
91,Białystok,297403
92,Katowice,295449
93,Vigo,292986
94,Augsburg,292851
95,Ostrawa,290450
96,Lublana,289518
97,Kowno,288466
98,Graz,286292
99,Konstanca,283872
