"","Var1","Freq"
"1","2011-08",307
"2","2011-09",933
"3","2011-10",487
"4","2011-11",254
"5","2011-12",254
"6","2012-01",412
"7","2012-02",205
"8","2012-03",269
"9","2012-04",167
"10","2012-05",326
"11","2012-06",207
"12","2012-07",216
"13","2012-08",251
"14","2012-09",271
"15","2012-10",294
"16","2012-11",262
"17","2012-12",364
"18","2013-01",353
"19","2013-02",549
"20","2013-03",696
"21","2013-04",1261
"22","2013-05",794
"23","2013-06",427
"24","2013-07",394
"25","2013-08",475
"26","2013-09",367
"27","2013-10",562
"28","2013-11",995
"29","2013-12",1590
"30","2014-01",1334
"31","2014-02",1027
"32","2014-03",937
"33","2014-04",614
"34","2014-05",492
"35","2014-06",413
"36","2014-07",469
"37","2014-08",410
"38","2014-09",334
"39","2014-10",434
"40","2014-11",446
"41","2014-12",362
"42","2015-01",491
"43","2015-02",356
"44","2015-03",342
"45","2015-04",396
"46","2015-05",415
"47","2015-06",491
"48","2015-07",441
"49","2015-08",344
"50","2015-09",309
"51","2015-10",350
"52","2015-11",358
"53","2015-12",410
"54","2016-01",445
"55","2016-02",336
"56","2016-03",331
"57","2016-04",266
"58","2016-05",507
"59","2016-06",604
"60","2016-07",413
"61","2016-08",420
"62","2016-09",323
"63","2016-10",413
"64","2016-11",459
"65","2016-12",370
"66","2017-01",441
"67","2017-02",426
"68","2017-03",556
"69","2017-04",393
"70","2017-05",632
"71","2017-06",809
"72","2017-07",981
"73","2017-08",1216
"74","2017-09",835
"75","2017-10",1133
"76","2017-11",1616
"77","2017-12",2067
"78","2018-01",1908
"79","2018-02",1148
"80","2018-03",1299
"81","2018-04",929
"82","2018-05",932
"83","2018-06",793
"84","2018-07",751
"85","2018-08",717
"86","2018-09",646
"87","2018-10",603
"88","2018-11",655
"89","2018-12",507
"90","2019-01",638
"91","2019-02",673
"92","2019-03",34
