"","Date","Count"
"1","2011-08",139
"2","2011-09",332
"3","2011-10",105
"4","2011-11",87
"5","2011-12",94
"6","2012-01",145
"7","2012-02",95
"8","2012-03",95
"9","2012-04",78
"10","2012-05",83
"11","2012-06",90
"12","2012-07",96
"13","2012-08",143
"14","2012-09",107
"15","2012-10",143
"16","2012-11",146
"17","2012-12",155
"18","2013-01",163
"19","2013-02",235
"20","2013-03",472
"21","2013-04",781
"22","2013-05",449
"23","2013-06",312
"24","2013-07",276
"25","2013-08",304
"26","2013-09",246
"27","2013-10",360
"28","2013-11",960
"29","2013-12",1332
"30","2014-01",961
"31","2014-02",776
"32","2014-03",586
"33","2014-04",408
"34","2014-05",314
"35","2014-06",257
"36","2014-07",276
"37","2014-08",283
"38","2014-09",228
"39","2014-10",267
"40","2014-11",314
"41","2014-12",262
"42","2015-01",355
"43","2015-02",247
"44","2015-03",220
"45","2015-04",290
"46","2015-05",307
"47","2015-06",277
"48","2015-07",368
"49","2015-08",329
"50","2015-09",301
"51","2015-10",333
"52","2015-11",363
"53","2015-12",405
"54","2016-01",443
"55","2016-02",380
"56","2016-03",372
"57","2016-04",357
"58","2016-05",512
"59","2016-06",550
"60","2016-07",443
"61","2016-08",470
"62","2016-09",401
"63","2016-10",525
"64","2016-11",948
"65","2016-12",896
"66","2017-01",963
"67","2017-02",1067
"68","2017-03",1222
"69","2017-04",941
"70","2017-05",1768
"71","2017-06",1934
"72","2017-07",1858
"73","2017-08",2366
"74","2017-09",1965
"75","2017-10",2284
"76","2017-11",3111
"77","2017-12",5284
"78","2018-01",3931
"79","2018-02",1999
"80","2018-03",1978
"81","2018-04",1534
"82","2018-05",1274
"83","2018-06",953
"84","2018-07",1003
"85","2018-08",1178
"86","2018-09",1009
"87","2018-10",1016
"88","2018-11",1011
"89","2018-12",855
"90","2019-01",855
"91","2019-02",745
"92","2019-03",51
