"","Var1","Freq"
"1","2010-07",20
"2","2010-08",24
"3","2010-09",6
"4","2010-10",13
"5","2010-11",17
"6","2010-12",19
"7","2011-01",15
"8","2011-02",8
"9","2011-03",13
"10","2011-04",12
"11","2011-05",10
"12","2011-06",11
"13","2011-07",8
"14","2011-08",12
"15","2011-09",17
"16","2011-10",14
"17","2011-11",10
"18","2011-12",24
"19","2012-01",20
"20","2012-02",26
"21","2012-03",12
"22","2012-04",10
"23","2012-05",14
"24","2012-06",23
"25","2012-07",21
"26","2012-08",17
"27","2012-09",28
"28","2012-10",11
"29","2012-11",12
"30","2012-12",20
"31","2013-01",22
"32","2013-02",21
"33","2013-03",17
"34","2013-04",24
"35","2013-05",17
"36","2013-06",17
"37","2013-07",18
"38","2013-08",12
"39","2013-09",14
"40","2013-10",14
"41","2013-11",11
"42","2013-12",12
"43","2014-01",23
"44","2014-02",11
"45","2014-03",18
"46","2014-04",10
"47","2014-05",18
"48","2014-06",12
"49","2014-07",15
"50","2014-08",17
"51","2014-09",4
"52","2014-10",13
"53","2014-11",17
"54","2014-12",27
"55","2015-01",16
"56","2015-02",13
"57","2015-03",17
"58","2015-04",15
"59","2015-05",30
"60","2015-06",17
"61","2015-07",23
"62","2015-08",19
"63","2015-09",19
"64","2015-10",15
"65","2015-11",26
"66","2015-12",14
"67","2016-01",21
"68","2016-02",24
"69","2016-03",13
"70","2016-04",20
"71","2016-05",15
"72","2016-06",17
"73","2016-07",10
"74","2016-08",17
"75","2016-09",19
"76","2016-10",16
"77","2016-11",8
"78","2016-12",22
"79","2017-01",19
"80","2017-02",17
"81","2017-03",15
"82","2017-04",19
"83","2017-05",8
"84","2017-06",14
"85","2017-07",19
"86","2017-08",20
"87","2017-09",15
"88","2017-10",14
"89","2017-11",16
"90","2017-12",23
"91","2018-01",18
"92","2018-02",16
"93","2018-03",19
"94","2018-04",24
"95","2018-05",3
"96","2018-06",11
"97","2018-07",12
"98","2018-08",17
"99","2018-09",9
"100","2018-10",12
"101","2018-11",17
"102","2018-12",12
"103","2019-01",15
"104","2019-02",13
